**  A character list of Wenzhou region pronunciations
**
**  The following symbols are used
**
**  1 (Following a character) most common pronunciation
**  2 (Following a character) second most common pronunciation
**  3 (Following a character) third most common pronunciation
**  4 (Following a character) fourth most common pronunciation
**  - (Following a character) Wendu (文读) pronunciation
**  = (Following a character) Baidu (白读) pronunciation
**  {}   Brackets comments
**  **   Starts a commented line
**  []   Indicates a unicode ideographic description sequence.
**  #    Stands in place of a character which has no unicode representation
**
**
**
zie33	棦狰铮争1挣1筝2肘2#
zie42	挣2诤
zzie22	争3䂻
zzie31	争2
cii213	吃1=
cii33	吹炊欺溪雌痴趋颸1差2蚩𩆵
cii35	起此岂齿企启取娶耻处1
cii42	次器气汽趣翅弃处2刺1=眙涩2儊出2-契2-
sii33	尸师诗书思丝司私舒输施1=狮1使腮鳃抒纾梳2-筛1尿2-{the pinyin on this line is repeated, may be a mistake}
sii33	须需希稀斯蛳厮嘶撕虽绥牺嘻嬉熹禧胥颸2儒2尠𤷡{the pinyin on this line is repeated, may be a mistake}
sii35	水死始史使喜驶豕矢屎蟢数2-
sii42	四虽岁戏税试恕赐暑絮庶戍肆𪖥
ssii22	字示事自树1视寺侍饲瑞遂隧穗鲥
ssii31	而如时词祠谁瓷辞殊磁糍隋随1=儒1孺茹耳2锄2-#鸶
** page 420 ** previous line overflowed page break **
ssii35	是士市尔似聚汝乳氏序恃柿树2竖墅巳祀绪在2
zii213	这只2
zii33	机讥知之鸡基朱株几1=饥肌萁芝吱脂蜘稽羁箕姬侏追{the pinyin on this line is repeated, may be a mistake}
zii33	诸珠蛛兹咨姿滋辎訾缁孳鮢锥孜{this line was corrupted in the original. three characters have been added by me, based on what i guess to have been intended.}{the pinyin on this line is repeated, may be a mistake}
zii35	子主指止址趾紫嘴姊旨仔梓滓黹己
zii42	计记智纪继寄至致注拄蛀炷著1驻铸暨系2醉2-
zzii213	极2-
zzii22	住治忌坠呲膇
zzii31	其期迟持除奇骑琦淇棋旗弛垂陲捶锤祈槌厨橱储麒鳍
zzii31	蜞茄2瘸2
zzii35	柱署技妓雉峙痔贮伫
ng22	二饿1=
ng31	儿唔鹅1=蛾1=疑2
ng33	哦
ng35	我五午伍仵忤耳1母3-
bbo213	拔薄1雹跋礴仆2瀑
bbo22	䶕
bbo31	爬扒琶钯杷耙巴2-
bo213	八2-剥膊博搏薄2驳捌
** page 421 **
bo33	巴1-趴疤芭笆
bo35	把1靶跁
bo42	霸坝把2
co213	措错1厝
co33	车1叉2-搓3
co42	岔
ddo213	铎剫
do213	豛
do35	朵抯2垛1
ggo213	搁2-
ggo31	枷2
go213	各觉角1阁个1=郭廓括胳抲𤌍珏搁1=花2
go33	家瓜嘉佳加枷1笳袈哥2-
go35	贾寡假1剐1
go42	价架驾挂卦嫁假2
hho213	学乏活滑猾伐筏阀罚缚1镬
hho22	话夏厦画1
hho31	华霞划1瑕骅哗2
hho35	下1
ho213	发法吓3=豁1霍砝珐
ho33	花1虾哗1呵
ho35	閜下2
ho42	化
io33	唷哟
jjo213	局蜀浊濯擢躅撅2
jo213	足烛捉桌卓琢嘱瞩
ko213	阔壳确榷
lo213	落录绿碌禄氯烙络㓢洛骆乐1
** page 422 **
lo31	萝1
mo213	莫摸牧目2木2沐袜陌穆
mo31	麻瞙膜漠蟆馍攠𢳀
mo33	姥嬷
mo35	马码玛姆母2=
ngo213	岳乐2鄂鳄萼腭
ngo22	砑
ngo31	牙芽蚜衙鹅2-
ngo35	瓦雅
no213	诺喏搙
no22	糯2
no31	挪
nyo213	玉狱钰
o213	沃恶1握斡
o33	鸦蛙娃洼喔阿3丫2-
o35	哑恶2
o42	亚娅桠下3
po213	泊粕舶璞
po33	葩
po42	怕
qo213	曲1触戳
so213	索
so33	纱沙桫莎娑鲨唆嗦蓑嗦
so35	所锁唢琐1
so42	閯
sso213	[⿱黹言]
sso22	座2矬
sso31	昨斜2睉
** page 423 **
sso35	坐
to213	托拓袥
xo213	束宿1缩粟朔
yo213	浴俗欲续赎
zo213	作柞
zo33	渣
zo35	怎抯1
zo42	炸1=诈榨
zzo22	座1
zzo31	查茶搽
bboe213	勃脖渤钹拌2
bboe22	瀊
bboe31	盘盆蟠磐槃般2搬2
bboe35	伴绊1=拌1
boe213	拨1泼1=缽
boe33	般1搬1边1-
boe42	半
coe213	猝
coe33	村参1汆
coe35	惨忖篡
coe42	寸窜蹿
ddoe213	突凸夺1=沓1
doe22	钝段1=缎遁
ddoe31	团臀潭贉覃屯沌囤糰昙
